Date,Open,High,Low,Close,Volume,Category,count,pos,neg
2017-07-10,357000,357000,351500,352500,29975,10,2.0,0.0,0.0
2017-07-10,357000,357000,351500,352500,29975,11,2.0,0.0,0.0
2017-07-11,352500,353500,349000,350500,35861,2,,,
2017-07-11,352500,353500,349000,350500,35861,3,,,
2017-07-11,352500,353500,349000,350500,35861,4,,,
2017-07-11,352500,353500,349000,350500,35861,5,,,
2017-07-11,352500,353500,349000,350500,35861,6,,,
2017-07-11,352500,353500,349000,350500,35861,7,,,
2017-07-11,352500,353500,349000,350500,35861,8,,,
2017-07-11,352500,353500,349000,350500,35861,9,,,
2017-07-11,352500,353500,349000,350500,35861,10,,,
2017-07-11,352500,353500,349000,350500,35861,11,,,
2017-07-12,353000,356000,353000,355500,33662,2,4.0,1.0,2.0
2017-07-12,353000,356000,353000,355500,33662,3,4.0,1.0,2.0
2017-07-12,353000,356000,353000,355500,33662,4,4.0,1.0,2.0
2017-07-12,353000,356000,353000,355500,33662,5,4.0,1.0,2.0
2017-07-12,353000,356000,353000,355500,33662,6,4.0,1.0,2.0
2017-07-12,353000,356000,353000,355500,33662,7,4.0,1.0,2.0
2017-07-12,353000,356000,353000,355500,33662,8,4.0,1.0,2.0
2017-07-12,353000,356000,353000,355500,33662,9,4.0,1.0,2.0
2017-07-12,353000,356000,353000,355500,33662,10,4.0,1.0,2.0
2017-07-12,353000,356000,353000,355500,33662,11,4.0,1.0,2.0
2017-07-13,357000,357000,352000,355000,41740,2,,,
2017-07-13,357000,357000,352000,355000,41740,3,,,
2017-07-13,357000,357000,352000,355000,41740,4,,,
2017-07-13,357000,357000,352000,355000,41740,5,,,
2017-07-13,357000,357000,352000,355000,41740,6,,,
2017-07-13,357000,357000,352000,355000,41740,7,,,
2017-07-13,357000,357000,352000,355000,41740,8,,,
2017-07-13,357000,357000,352000,355000,41740,9,,,
2017-07-13,357000,357000,352000,355000,41740,10,,,
2017-07-13,357000,357000,352000,355000,41740,11,,,
2017-07-14,357000,357000,351000,356000,24030,2,1.0,1.0,0.0
2017-07-14,357000,357000,351000,356000,24030,3,1.0,1.0,0.0
2017-07-14,357000,357000,351000,356000,24030,4,1.0,1.0,0.0
2017-07-14,357000,357000,351000,356000,24030,5,1.0,1.0,0.0
2017-07-14,357000,357000,351000,356000,24030,6,1.0,1.0,0.0
2017-07-14,357000,357000,351000,356000,24030,7,1.0,1.0,0.0
2017-07-14,357000,357000,351000,356000,24030,8,1.0,1.0,0.0
2017-07-14,357000,357000,351000,356000,24030,9,1.0,1.0,0.0
2017-07-14,357000,357000,351000,356000,24030,10,1.0,1.0,0.0
2017-07-14,357000,357000,351000,356000,24030,11,1.0,1.0,0.0
2017-07-17,357000,358500,354000,355500,22566,2,2.0,2.0,0.0
2017-07-17,357000,358500,354000,355500,22566,3,2.0,2.0,0.0
2017-07-17,357000,358500,354000,355500,22566,4,2.0,2.0,0.0
2017-07-17,357000,358500,354000,355500,22566,5,2.0,2.0,0.0
2017-07-17,357000,358500,354000,355500,22566,6,2.0,2.0,0.0
2017-07-17,357000,358500,354000,355500,22566,7,2.0,2.0,0.0
2017-07-17,357000,358500,354000,355500,22566,8,2.0,2.0,0.0
2017-07-17,357000,358500,354000,355500,22566,9,2.0,2.0,0.0
2017-07-17,357000,358500,354000,355500,22566,10,2.0,2.0,0.0
2017-07-17,357000,358500,354000,355500,22566,11,2.0,2.0,0.0
2017-07-18,356000,356500,351500,352500,27646,2,4.0,3.0,0.0
2017-07-18,356000,356500,351500,352500,27646,3,4.0,3.0,0.0
2017-07-18,356000,356500,351500,352500,27646,4,4.0,3.0,0.0
2017-07-18,356000,356500,351500,352500,27646,5,4.0,3.0,0.0
2017-07-18,356000,356500,351500,352500,27646,6,4.0,3.0,0.0
2017-07-18,356000,356500,351500,352500,27646,7,4.0,3.0,0.0
2017-07-18,356000,356500,351500,352500,27646,8,4.0,3.0,0.0
2017-07-18,356000,356500,351500,352500,27646,9,4.0,3.0,0.0
2017-07-18,356000,356500,351500,352500,27646,10,4.0,3.0,0.0
