date,open,high,low,close,volume,roe,per,pbr,Date,Category,count,pos,neg
2014-03-06,270500,280500,269000,280500,107623,8.6,22.2,1.1,2014-03-06,6,2.0,1.0,1.0
2014-03-06,270500,280500,269000,280500,107623,8.6,22.2,1.1,2014-03-06,7,2.0,1.0,1.0
2014-03-06,270500,280500,269000,280500,107623,8.6,22.2,1.1,2014-03-06,8,2.0,1.0,1.0
2014-03-06,270500,280500,269000,280500,107623,8.6,22.2,1.1,2014-03-06,9,2.0,1.0,1.0
2014-03-06,270500,280500,269000,280500,107623,8.6,22.2,1.1,2014-03-06,10,2.0,1.0,1.0
2014-03-06,270500,280500,269000,280500,107623,8.6,22.2,1.1,2014-03-06,11,2.0,1.0,1.0
2014-03-07,281000,283000,278000,280500,62692,8.6,22.2,1.1,2014-03-07,2,2.0,0.0,0.0
2014-03-07,281000,283000,278000,280500,62692,8.6,22.2,1.1,2014-03-07,3,2.0,0.0,0.0
2014-03-07,281000,283000,278000,280500,62692,8.6,22.2,1.1,2014-03-07,4,2.0,0.0,0.0
2014-03-07,281000,283000,278000,280500,62692,8.6,22.2,1.1,2014-03-07,5,2.0,0.0,0.0
2014-03-07,281000,283000,278000,280500,62692,8.6,22.2,1.1,2014-03-07,6,2.0,0.0,0.0
2014-03-07,281000,283000,278000,280500,62692,8.6,22.2,1.1,2014-03-07,7,2.0,0.0,0.0
2014-03-07,281000,283000,278000,280500,62692,8.6,22.2,1.1,2014-03-07,8,2.0,0.0,0.0
2014-03-07,281000,283000,278000,280500,62692,8.6,22.2,1.1,2014-03-07,9,2.0,0.0,0.0
2014-03-07,281000,283000,278000,280500,62692,8.6,22.2,1.1,2014-03-07,10,2.0,0.0,0.0
2014-03-07,281000,283000,278000,280500,62692,8.6,22.2,1.1,2014-03-07,11,2.0,0.0,0.0
2014-03-10,280000,280000,273000,274000,58950,8.6,22.2,1.1,2014-03-10,2,3.0,3.0,0.0
2014-03-10,280000,280000,273000,274000,58950,8.6,22.2,1.1,2014-03-10,3,3.0,3.0,0.0
2014-03-10,280000,280000,273000,274000,58950,8.6,22.2,1.1,2014-03-10,4,3.0,3.0,0.0
2014-03-10,280000,280000,273000,274000,58950,8.6,22.2,1.1,2014-03-10,5,3.0,3.0,0.0
2014-03-10,280000,280000,273000,274000,58950,8.6,22.2,1.1,2014-03-10,6,3.0,3.0,0.0
2014-03-10,280000,280000,273000,274000,58950,8.6,22.2,1.1,2014-03-10,7,3.0,3.0,0.0
2014-03-10,280000,280000,273000,274000,58950,8.6,22.2,1.1,2014-03-10,8,3.0,3.0,0.0
2014-03-10,280000,280000,273000,274000,58950,8.6,22.2,1.1,2014-03-10,9,3.0,3.0,0.0
2014-03-10,280000,280000,273000,274000,58950,8.6,22.2,1.1,2014-03-10,10,3.0,3.0,0.0
2014-03-10,280000,280000,273000,274000,58950,8.6,22.2,1.1,2014-03-10,11,3.0,3.0,0.0
2014-03-11,274000,281000,272000,280000,62919,8.6,22.2,1.1,2014-03-11,2,,,
2014-03-11,274000,281000,272000,280000,62919,8.6,22.2,1.1,2014-03-11,3,,,
2014-03-11,274000,281000,272000,280000,62919,8.6,22.2,1.1,2014-03-11,4,,,
2014-03-11,274000,281000,272000,280000,62919,8.6,22.2,1.1,2014-03-11,5,,,
2014-03-11,274000,281000,272000,280000,62919,8.6,22.2,1.1,2014-03-11,6,,,
